wavelength,Back_EunCamf,Belly_EunCamf,Breast_EunCamf,Crissum_EunCamf,Crown_EunCamf,DorTail_EunCamf,Rump_EunCamf,Throat_EunCamf,WingTip_EunCamf
240.42,19.8582,20.8038,24.9172666667,23.9875333333,20.7406666667,26.4303333333,24.1922,24.3655666667,24.3183333333
240.79,16.6098666667,17.7730666667,21.2057333333,20.0141333333,17.2198666667,23.2623333333,20.8936,20.9858,20.6949333333
241.17,15.4054,16.7824666667,19.5882666667,18.6743333333,16.4736,21.9562,19.7554,19.5368333333,19.6268
241.54,14.3977333333,15.5438666667,18.3040666667,16.7718666667,14.9941333333,20.7017333333,18.6432666666,18.1579,18.5846
241.92,14.1029333333,15.1218666667,17.344,16.5744,14.2114666667,20.0542,18.4606666667,17.7343333333,18.4497333333
242.29,11.7634,12.7727333333,15.0050666667,13.9653333333,11.7023333333,18.369,16.7483333333,15.6778,16.2385333333
242.67,10.0098,10.9047333333,13.3234666667,12.3009333333,10.4228,16.9222666667,15.8604666666,14.0804333333,14.4936666667
243.05,9.53880000001,10.6532,13.5832,11.9501333333,9.73093333334,16.83,15.3218,13.8089666667,13.9577333333
243.42,9.89553333333,11.2725333333,14.0362,12.6020666667,10.0761333333,17.9867333333,15.9068,14.9382,14.8148
243.80,9.50659999999,11.0988,14.1246666667,12.3090666667,10.0092666667,18.0634,16.0056666667,14.986,14.5811333333
244.17,9.80786666667,11.5893333333,14.1584,12.6020666667,10.3986,18.6028,16.737,15.4242,14.6272666667
244.55,9.52653333331,11.2584666667,13.7934,12.2868666667,10.4195333333,18.2138,16.5448,15.0337333333,14.6774666667
244.92,10.3084666667,11.9138666667,14.4825333333,13.0038,11.3222666667,19.1213333333,16.7471333333,15.3486333334,15.3610666667
245.30,9.16373333334,10.5192666667,12.4930666667,11.4466666667,9.72659999999,17.8278666667,14.6412,13.8209333333,14.0944666667
245.67,8.397,9.611,10.9705333333,10.2217333333,8.33146666666,16.6776666667,12.9697333333,12.4972333334,13.3551333333
246.05,7.21566666667,8.24740000001,9.60306666667,8.5054,6.77246666667,15.4166,11.1176666667,10.6911333333,11.8915333333
246.42,8.00366666667,9.08366666667,9.90160000001,8.97626666667,7.4962,16.0490666667,11.4594,11.2384333333,12.7067333333
